#Procedure: <__main__.ds345_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 1
#	Drive Amplitude (Vpp): 5
#	DS345 addr: 2::16
#	stop frequency (Hz): 1400
#	start frequency (Hz): 500
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#Data:
UTC,timestamp,f,X_sr,sigma_xsr,Y_sr,sigma_ysr
1702165167.6477144,2.011270523071289,500.0,-0.0036553186002429624,6.368829582083142e-05,0.022846784412701073,2.0877977500725793e-05
1702165173.0872524,7.450808525085449,501.0,-0.0035838978813293784,3.43931349598996e-05,0.02294232373569101,4.475613431643903e-05
1702165178.5297644,12.893320560455322,502.0,-0.003602502180293282,6.904981109022295e-05,0.022996627073236964,2.784805207536099e-05
1702165183.9896896,18.353245735168457,503.0,-0.003569698716741968,6.029954381435366e-05,0.02308979570626255,5.1293312654467696e-05
1702165189.431581,23.79513716697693,504.0,-0.003611859547565261,3.20265527399161e-05,0.023175465534011043,4.974962240000379e-05
1702165194.868915,29.232471227645874,505.0,-0.0036495841123203544,3.561935682764165e-05,0.023278384285177138,4.1597916260886894e-05
1702165200.3111608,34.67471694946289,506.0,-0.0036264034000585677,3.572022875891554e-05,0.02336204355181141,3.098760229517105e-05
1702165205.751553,40.11510920524597,507.0,-0.00363923140478581,3.9950897582266104e-05,0.02344742740493223,4.198624810706424e-05
1702165211.1906495,45.554205656051636,508.0,-0.003620984082553476,5.007127329011059e-05,0.02355920312238887,4.241475043192156e-05
1702165216.6333318,50.99688792228699,509.0,-0.003646075406814004,2.5749343407605944e-05,0.02365087825346758,4.600632881705367e-05
1702165222.0854228,56.448978900909424,510.0,-0.0036203313001336897,3.539426371432973e-05,0.023785351431943515,2.6902413099029428e-05
1702165227.5280235,61.89157962799072,511.0,-0.0036525496517319277,3.7044523228272144e-05,0.02386372475579401,3.401746643247916e-05
1702165232.9699922,67.33354830741882,512.0,-0.003682372720046854,3.8463885741086874e-05,0.023940611077120984,7.351304263773067e-05
1702165238.414212,72.7777681350708,513.0,-0.0036447290430731954,5.486206874349702e-05,0.024075431619735962,4.764319533080294e-05
1702165243.8569224,78.22047853469849,514.0,-0.0036399147727272725,3.550320291842608e-05,0.02419399322672961,4.0916640173574916e-05
1702165249.2987943,83.66235041618347,515.0,-0.0036707995409634023,2.2548287077892435e-05,0.024310555687562668,2.248974438283234e-05
1702165254.7431507,89.10670685768127,516.0,-0.003683866900659212,5.545569895948791e-05,0.02444730995493992,4.8413402108100844e-05
1702165260.204758,94.56831407546997,517.0,-0.0037177518668423696,5.849721680084991e-05,0.024575924139265393,2.3422074146950353e-05
1702165265.657005,100.02056121826172,518.0,-0.0036572478063294847,3.84862692992504e-05,0.024687781072205487,5.338946841439088e-05
1702165271.1020684,105.46562457084656,519.0,-0.0036671684387533424,4.092908681980554e-05,0.024795450628760027,4.6290196733301686e-05
1702165276.5474432,110.9109992980957,520.0,-0.0036976860168783424,3.079060397029913e-05,0.024958401440299132,4.307320690547129e-05
1702165281.9903421,116.35389828681946,521.0,-0.003712032374288822,4.448079585997088e-05,0.02505035604658216,2.151285912574124e-05
1702165287.4402564,121.8038125038147,522.0,-0.0037316943621188005,3.98252784951225e-05,0.025188088097457272,2.544353712651948e-05
1702165292.880933,127.24448919296265,523.0,-0.0037426316594503014,3.0546358900784216e-05,0.025353162323774263,3.469154145707939e-05
1702165298.3245795,132.68813562393188,524.0,-0.0037185342554102606,3.439100539297683e-05,0.025525220575179645,2.9331742902164242e-05
1702165303.768224,138.1317801475525,525.0,-0.003736771364263035,3.393419025812665e-05,0.025657205020680147,3.9444161651294296e-05
1702165309.211911,143.57546710968018,526.0,-0.0037609340356216533,2.4401420340501686e-05,0.025772196860358098,1.525844724543314e-05
1702165314.654613,149.0181691646576,527.0,-0.0037592515588444186,3.3547589644604094e-05,0.02590799586658172,3.293810798200569e-05
1702165320.1019137,154.46546983718872,528.0,-0.003822214312981091,5.163716634482245e-05,0.026086728097284972,3.2953421272313164e-05
1702165325.5438976,159.90745377540588,529.0,-0.003797194536994485,3.319403719514856e-05,0.026221413025881518,3.783505854449855e-05
1702165330.9868493,165.35040545463562,530.0,-0.0038030131594084674,4.1366239929887634e-05,0.02641282087987366,1.9427641356860082e-05
1702165336.4344475,170.79800367355347,531.0,-0.0038274027097975234,4.3525431129013214e-05,0.026542040558065597,3.3224134697253906e-05
1702165341.8769317,176.24048781394958,532.0,-0.0037722504601740295,3.1460180069172755e-05,0.026720161897590362,4.79670759402162e-05
1702165347.3229928,181.68654894828796,533.0,-0.0038537010152072193,3.7010698014687655e-05,0.026899776356742983,5.4701635580697614e-05
1702165352.7718663,187.13542246818542,534.0,-0.0038615562510458503,5.0032368254770385e-05,0.02708796612230171,5.041039426151704e-05
1702165358.2159038,192.5794599056244,535.0,-0.003902822892296123,6.697385383795552e-05,0.027298014431713737,7.481075703890351e-05
1702165363.6619742,198.02553033828735,536.0,-0.003878384350455381,0.00014703341557001446,0.02743142683875752,0.0001395859325586214
1702165369.108979,203.47253513336182,537.0,-0.003911546775909546,0.00034782424843386066,0.02763336140896195,0.0003463549868680973
1702165374.558604,208.9221601486206,538.0,-0.0038925007702832553,0.0010301256547466846,0.027864425577581883,0.0010177947138410625
1702165380.0074697,214.37102580070496,539.0,-0.0036551735617897725,0.0033545915436084327,0.027703229118795955,0.0033745083748908935
1702165385.451385,219.81494116783142,540.0,-0.010677230405998996,0.003678861457467025,0.03123353603214943,0.0064829703193765124
1702165390.9023058,225.26586198806763,541.0,-0.0032051616811497327,0.004416130411084943,0.02851504565560244,0.0045502730355245526
1702165396.3468988,230.7104549407959,542.0,-0.004084051611589238,0.001324871064175453,0.02874188754647811,0.0013213581072097807
1702165401.7934291,236.15698528289795,543.0,-0.0039756489310035096,0.00040025110956833136,0.028878074278805982,0.000399315074756334
1702165407.2428021,241.60635828971863,544.0,-0.004028483508104946,0.0001560969586930416,0.029127926749979112,0.0001526777253965795
1702165412.6999757,247.06353187561035,545.0,-0.00402292764809237,7.57850492022949e-05,0.02938540457402527,7.245449492246244e-05
1702165418.1619382,252.5254943370819,546.0,-0.004043027579066265,5.5160692037770134e-05,0.029626848866821452,4.15955829313181e-05
1702165423.6041799,257.9677360057831,547.0,-0.0041016688615323395,2.812363290791978e-05,0.02989675404239276,2.4736896625854473e-05
1702165429.047224,263.4107801914215,548.0,-0.00407736059178643,3.2116691887573115e-05,0.03011370980165859,4.488448430043326e-05
1702165434.4942136,268.8577697277069,549.0,-0.004132129102346888,3.9279462756012405e-05,0.03040666082297942,5.679461924254527e-05
1702165439.952684,274.31624007225037,550.0,-0.004137166341145833,2.316568072711554e-05,0.0307001953125,4.298261938805042e-05
1702165445.340918,279.70447421073914,551.0,-0.00416783507728832,3.5184106808470435e-05,0.03095646747144829,3.286360205909557e-05
1702165450.696593,285.06014919281006,552.0,-0.00418417211522393,3.282605661771937e-05,0.03127411215063085,2.495195557894205e-05
1702165456.0579188,290.42147493362427,553.0,-0.004214036910929145,3.348473971896528e-05,0.03155648134608957,4.461422811048676e-05
1702165461.4163685,295.7799246311188,554.0,-0.004221421512052974,2.8855727750064567e-05,0.031865165832845925,4.2097902950723855e-05
1702165466.7762861,301.1398422718048,555.0,-0.004239655562353581,3.815701107387456e-05,0.03220474672126004,2.8385405487602927e-05
1702165472.137309,306.50086522102356,556.0,-0.004266128642172858,3.9961047990082264e-05,0.03251449809655288,2.923650856620068e-05
1702165477.4964116,311.85996770858765,557.0,-0.004294919584136227,3.6701751257453036e-05,0.03286595894248492,4.5002977361675364e-05
1702165482.8534918,317.2170479297638,558.0,-0.004301385228413655,3.1875641811526914e-05,0.033224287122448126,2.6769936110654363e-05
1702165488.2129207,322.57647681236267,559.0,-0.004334801658589572,2.5313211311401103e-05,0.0335833707595254,4.556914006643399e-05
1702165493.5700116,327.9335677623749,560.0,-0.004325161976029116,3.573559781419696e-05,0.033978851604334004,4.3644561343783404e-05
1702165498.9311297,333.2946858406067,561.0,-0.004375779485128012,5.266853570799909e-05,0.03436377345318775,3.892412078250347e-05
1702165504.2927103,338.65626645088196,562.0,-0.004399474525706995,5.606743154005483e-05,0.034808709120335506,4.414963183663895e-05
1702165509.6521072,344.01566338539124,563.0,-0.0044382148671562914,4.73276809545716e-05,0.03519639829186085,5.945225786395491e-05
1702165515.0544949,349.4180510044098,564.0,-0.00447946571442018,5.4756456816788175e-05,0.03563725932375335,4.462947233992116e-05
1702165520.4142962,354.7778522968292,565.0,-0.004520605207287484,4.209288480934851e-05,0.03612635764411814,3.646587875753398e-05
1702165525.7754483,360.13900446891785,566.0,-0.004540550517525902,3.3814463098762996e-05,0.03656254732672543,2.787407088568157e-05
1702165531.148491,365.5120470523834,567.0,-0.004550791041736297,4.596868528151812e-05,0.03705372529871324,3.129719853470006e-05
1702165536.5115304,370.8750865459442,568.0,-0.004530001516482597,2.632805608956903e-05,0.037573225846092705,2.6641130237737347e-05
1702165541.8716397,376.23519587516785,569.0,-0.004559399609897226,3.7573528748471806e-05,0.03810188987038352,2.6419895456128083e-05
1702165547.2373517,381.6009078025818,570.0,-0.004588626315156459,2.2223337621983434e-05,0.038638603894745646,2.1737450303286736e-05
1702165552.5994213,386.9629774093628,571.0,-0.004620410352346888,2.3726153351053155e-05,0.039217784222828816,2.9291203359208834e-05
1702165557.9686086,392.3321647644043,572.0,-0.004626717796937667,2.706277568505295e-05,0.03983437441249582,2.5998697663054312e-05
1702165563.3370693,397.7006254196167,573.0,-0.004635235579339812,4.83241620093026e-05,0.04045109071296917,4.0908527117854474e-05
1702165568.6969187,403.0604748725891,574.0,-0.004661519259692513,1.998396652520615e-05,0.04108282079033673,2.41008955151716e-05
1702165574.059941,408.4234972000122,575.0,-0.004653155484939004,3.6848139246327214e-05,0.041788274591619316,2.2490965576569374e-05
1702165579.4279685,413.7915246486664,576.0,-0.004661754112805388,2.957687506334087e-05,0.042520505197874835,3.556133913467287e-05
1702165584.7903802,419.1539363861084,577.0,-0.004681894897297523,3.476708811446671e-05,0.043247330140876006,3.032624655634793e-05
1702165590.1558156,424.5193717479706,578.0,-0.004693619857032296,2.5881534082009112e-05,0.0440518176220507,3.852887486212317e-05
1702165595.5159512,429.8795073032379,579.0,-0.004680490748767547,2.9573181428478492e-05,0.044874344280059326,3.6200628494477e-05
1702165600.8808823,435.2444384098053,580.0,-0.004709062486926874,3.175482768108327e-05,0.045739639874602576,2.4994207833845845e-05
1702165606.250636,440.61419224739075,581.0,-0.004680424170640897,2.987266689421282e-05,0.04665083674541918,4.05810563470952e-05
1702165611.616815,445.98037123680115,582.0,-0.00462237132122239,3.334593193675632e-05,0.04763385410130104,5.531988768034283e-05
1702165617.012366,451.37592220306396,583.0,-0.004631390200862936,4.53795846978639e-05,0.04862288815086713,2.0379100118659937e-05
1702165622.4120388,456.7755949497223,584.0,-0.0045657074914240295,2.298793747159565e-05,0.049699693958124166,4.5108981543995986e-05
1702165627.774188,462.1377441883087,585.0,-0.004573592220444277,3.7098008960822504e-05,0.050843592468833666,2.6248631860617024e-05
1702165633.1359248,467.4994809627533,586.0,-0.004473419393720716,3.443978241631342e-05,0.052041989572874835,3.0503765744403398e-05
1702165638.4986053,472.86216139793396,587.0,-0.004416428735776439,2.335227984326245e-05,0.05333749548977158,2.534070991992302e-05
1702165643.8615494,478.2251055240631,588.0,-0.004269437777150268,2.4326820814836937e-05,0.054665153125522926,2.5374935459944378e-05
1702165649.2244534,483.588009595871,589.0,-0.004225275123933233,3.351891131439077e-05,0.056177060128534975,3.068069300295729e-05
1702165654.5874274,488.9509835243225,590.0,-0.004071625041834003,2.87689999727555e-05,0.057699507339252845,3.153473519773498e-05
1702165659.9627311,494.3262872695923,591.0,-0.003944111380347594,1.6349316564872534e-05,0.05933629000250668,2.5634440229100632e-05
